"n.pop0","gen","ext.gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
60,7,14,0.0429090909090909,0.0218181818181818,0.370237548552672,0.0031739451398771,55
60,7,15,0.0289556962025316,0.00860759493670886,0.386124168017295,0.00208493830847874,2528
60,8,8,0.24188679245283,0.20811320754717,0.232363485875664,0.00545662623686598,212
60,8,9,0.141005586592179,0.106815642458101,0.295037234834466,0.00405331253235735,179
60,8,10,0.102312925170068,0.0628571428571429,0.323912435941877,0.00412811583787317,147
60,8,11,0.0904504504504505,0.0590990990990991,0.331728755389859,0.00369111798122906,111
60,8,12,0.0723404255319149,0.045531914893617,0.341511882168755,0.00374758253227123,94
60,8,13,0.0777142857142857,0.0325714285714286,0.342669895331761,0.0034625173553616,70
60,8,14,0.0712727272727273,0.0341818181818182,0.341781355395655,0.00401170241022777,55
60,8,15,0.0440664556962025,0.0134018987341772,0.368187792516131,0.00266670904839882,2528
60,9,9,0.273519553072626,0.224357541899441,0.213485563536402,0.00492859790958618,179
60,9,10,0.163265306122449,0.113197278911565,0.280214191453608,0.00452145796606813,147
60,9,11,0.136576576576577,0.0944144144144144,0.296378190184806,0.0047695534031723,111
60,9,12,0.10936170212766,0.0642553191489362,0.316360362794333,0.00424700724362937,94
60,9,13,0.114857142857143,0.0531428571428571,0.318819127415062,0.00421943721298643,70
60,9,14,0.104,0.0509090909090909,0.32306053567655,0.003948244693237,55
60,9,15,0.0599050632911392,0.0188132911392405,0.352415977111825,0.00304927063461117,2528
60,10,10,0.293333333333333,0.233197278911565,0.201036793697071,0.00526592666204352,147
60,10,11,0.198198198198198,0.140900900900901,0.259504997546119,0.00500218165800169,111
60,10,12,0.157872340425532,0.0987234042553192,0.277811620201165,0.00469505104297734,94
60,10,13,0.147428571428571,0.0845714285714286,0.291048288582254,0.00522389605395355,70
60,10,14,0.144,0.0741818181818182,0.296025365478746,0.00415431023321116,55
60,10,15,0.0756487341772152,0.0245094936708861,0.338275204239316,0.0035130876326779,2528
60,11,11,0.308468468468468,0.246486486486486,0.188706209837956,0.00545494140746925,111
60,11,12,0.223829787234043,0.15063829787234,0.238745569034113,0.00490738020248922,94
60,11,13,0.201142857142857,0.12,0.260290472636952,0.00587732938646072,70
60,11,14,0.178181818181818,0.0981818181818182,0.275778451190912,0.00511393645823726,55
60,11,15,0.0911867088607595,0.0295094936708861,0.326064550734602,0.00392271513695052,2528
60,12,12,0.327234042553191,0.246808510638298,0.179415163360458,0.00591746810137246,94
60,12,13,0.262285714285714,0.174857142857143,0.218425880145038,0.00569643405987745,70
60,12,14,0.210181818181818,0.122909090909091,0.250096249558469,0.00489177324238919,55
60,12,15,0.105,0.0350158227848101,0.314594831311327,0.00427927546323417,2528
60,13,13,0.362857142857143,0.282857142857143,0.150194648526077,0.00554661387557348,70
60,13,14,0.262545454545455,0.170909090909091,0.220130642839038,0.00443918487286911,55
60,13,15,0.11746835443038,0.0396518987341772,0.304989891444384,0.00453775050408842,2528
60,14,14,0.378181818181818,0.257454545454545,0.155440682848897,0.00380940075825265,55
60,14,15,0.12870253164557,0.0440822784810127,0.296295411406386,0.00482266176445358,2528
60,15,15,0.140268987341772,0.0495886075949367,0.287784246395095,0.0052953435124526,2528
