"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
25,15,31,1.45161290322581,1.4021945216678,1.5051827672417,20,0,TRUE,1
26,1,20,0.32,0.394296994425861,0.927347906917595,100,0,TRUE,1
26,2,23,0.4,0.620033097093245,1.04118540852049,100,0,TRUE,1
26,3,15,0.266666666666667,0.347287465717806,0.905295234845381,100,0,TRUE,1
26,4,5,0.6,0.719368495866219,1.10495901422675,100,0,TRUE,1
26,5,3,0.733333333333333,0.547341182059682,1.08823326572951,100,0,TRUE,1
27,1,20,0.32,0.188372253843859,0.853519009567086,20,0.0035,TRUE,1
27,2,16,0.45,0.367993811892365,0.944261609991132,20,0.0035,TRUE,1
27,3,12,0.25,0.314309325804632,0.880810008199106,20,0.0035,TRUE,1
27,4,11,0.327272727272727,0.169187834857563,0.83012317854839,20,0.0035,TRUE,1
27,5,6,0.566666666666667,0.495119501601974,1.02597299470182,20,0.0035,TRUE,1
27,6,3,0.533333333333333,0.772860017355743,1.13891723987431,20,0.0035,TRUE,1
28,1,20,0.32,0.336083416875616,0.916956524285955,100,0.0035,TRUE,1
28,2,18,0.455555555555556,0.418362336063487,0.968818840924665,100,0.0035,TRUE,1
28,3,16,0.4875,0.344710618645911,0.917342650100016,100,0.0035,TRUE,1
28,4,8,0.275,0.547749586041014,1.00854417257265,100,0.0035,TRUE,1
28,5,3,0.266666666666667,-0.303925995631165,0.616668959885462,100,0.0035,TRUE,1
29,1,20,0.32,0.382451642903913,0.928442825387704,20,0,FALSE,1
29,2,29,0.448275862068966,0.438433666498777,0.960658463533147,20,0,FALSE,1
29,3,27,0.525925925925926,0.533843437106689,1.00738123077718,20,0,FALSE,1
29,4,37,0.605405405405405,0.444069622081093,0.946754842721944,20,0,FALSE,1
29,5,37,0.827027027027027,0.607574589410742,1.05263272068618,20,0,FALSE,1
29,6,36,0.822222222222222,0.999714768146215,1.22770129417082,20,0,FALSE,1
29,7,32,0.8375,0.519714135628924,1.00733529989816,20,0,FALSE,1
29,8,30,0.826666666666667,0.955076654787923,1.22830657291648,20,0,FALSE,1
29,9,40,0.8,0.745564537206691,1.13804205472445,20,0,FALSE,1
29,10,47,0.842553191489362,0.838530060026586,1.16951302326017,20,0,FALSE,1
29,11,45,0.857777777777778,0.86203728977899,1.1931530441103,20,0,FALSE,1
29,12,48,0.883333333333333,0.894870246471862,1.20600043244932,20,0,FALSE,1
29,13,61,1.04590163934426,0.99713001355139,1.2469494328305,20,0,FALSE,1
29,14,54,0.97037037037037,0.87640919029557,1.20914682807927,20,0,FALSE,1
29,15,36,0.988888888888889,0.868821169013265,1.20543243192613,20,0,FALSE,1
30,1,20,0.32,0.633958109629771,1.06945300050879,100,0,FALSE,1
30,2,16,-0.025,0.161171618299105,0.809487815424241,100,0,FALSE,1
30,3,15,-0.0933333333333333,-0.23687063834215,0.702917473976999,100,0,FALSE,1
30,4,5,0.12,-0.0561725827804905,0.663004656893596,100,0,FALSE,1
30,5,4,0.25,0.348872789488459,0.90253232206339,100,0,FALSE,1
30,6,7,0.257142857142857,0.163040147123236,0.830132276792302,100,0,FALSE,1
30,7,4,0.05,-0.442836384975043,0.658536896479102,100,0,FALSE,1
31,1,20,0.32,0.337587251894276,0.918005490895484,20,0.0035,FALSE,1
31,2,22,0.127272727272727,-0.163898922365364,0.701159928276757,20,0.0035,FALSE,1
31,3,18,0.111111111111111,0.205272801294297,0.856802421081169,20,0.0035,FALSE,1
31,4,18,0.0444444444444444,-0.0763299317168213,0.70588329347857,20,0.0035,FALSE,1
31,5,14,-0.0428571428571429,0.0937037993262977,0.798118205027561,20,0.0035,FALSE,1
31,6,3,0.2,0.465570426400833,0.995054172596723,20,0.0035,FALSE,1
31,7,2,0.1,0.00963622895986639,0.691673432212089,20,0.0035,FALSE,1
32,1,20,0.32,0.604512170441431,1.05176770405869,100,0.0035,FALSE,1
32,2,24,-0.0416666666666667,-0.0796880960611385,0.710048408331421,100,0.0035,FALSE,1
32,3,16,0.0125,0.107372357166677,0.81464902643591,100,0.0035,FALSE,1
32,4,11,0.0909090909090909,-0.215028055231297,0.654605164133016,100,0.0035,FALSE,1
32,5,6,0.0333333333333333,-0.604754629991387,0.529807797869725,100,0.0035,FALSE,1
32,6,6,0.433333333333333,0.924012941665686,1.22744445330583,100,0.0035,FALSE,1
32,7,3,-0.333333333333333,-0.185362381748786,0.733632871448119,100,0.0035,FALSE,1
32,8,4,0.6,0.902913198072995,1.23890248481827,100,0.0035,FALSE,1
33,1,20,0.32,0.261186351877696,0.880027409491751,20,0,TRUE,1
33,2,23,0.182608695652174,0.00610251252954719,0.749665399727116,20,0,TRUE,1
33,3,15,0.0533333333333333,0.224242634123977,0.840900613434725,20,0,TRUE,1
33,4,12,-0.0333333333333333,0.320624605208256,0.938331777311151,20,0,TRUE,1
33,5,12,-0.05,-0.0991777070059158,0.677187725054876,20,0,TRUE,1
33,6,13,1.28269457021747e-17,-0.3801444257111,0.60909675753311,20,0,TRUE,1
33,7,4,0.55,0.385262398776777,0.962083884320745,20,0,TRUE,1
33,8,8,0,0.210564364579938,0.816456383408532,20,0,TRUE,1
33,9,9,-0.355555555555556,-0.199117255844326,0.653075292970149,20,0,TRUE,1
33,10,12,-0.0666666666666667,0.0261827634054218,0.777392445003796,20,0,TRUE,1
33,11,11,-0.309090909090909,-0.392037242939525,0.604234481810443,20,0,TRUE,1
33,12,5,-0.12,-0.201795981117023,0.601824589676954,20,0,TRUE,1
33,13,6,-0.133333333333333,-0.012071598777753,0.707885394856715,20,0,TRUE,1
33,14,1,-1,0.398843745082435,0.907275237105755,20,0,TRUE,1
34,1,20,0.32,0.245537241523048,0.887676552795785,100,0,TRUE,1
34,2,14,0.2,-0.036029069230624,0.708124297038791,100,0,TRUE,1
34,3,11,0.509090909090909,0.336177630206173,0.88357333948791,100,0,TRUE,1
34,4,1,1,0.652992638602456,1.06474895322691,100,0,TRUE,1
35,1,20,0.32,0.26900727737613,0.862523744502709,20,0.0035,TRUE,1
35,2,16,0.2375,0.0929603599241651,0.768120783042975,20,0.0035,TRUE,1
35,3,14,0.214285714285714,0.123693497880727,0.782995576265391,20,0.0035,TRUE,1
35,4,11,0.218181818181818,0.0229437949629841,0.721595975248127,20,0.0035,TRUE,1
35,5,7,0.0285714285714286,0.194353112393421,0.847473488449538,20,0.0035,TRUE,1
35,6,4,0.15,0.20863706091979,0.831765513702337,20,0.0035,TRUE,1
36,1,20,0.32,0.396729743619337,0.958120538067684,100,0.0035,TRUE,1
36,2,11,0.4,0.208890642631588,0.832721784946611,100,0.0035,TRUE,1
36,3,1,0.2,0.0841500239737238,0.72575185324132,100,0.0035,TRUE,1
37,1,20,0.32,0.425818823149316,0.944605819665697,20,0,FALSE,1
37,2,19,-0.157894736842105,-0.0269014334074268,0.788648253059741,20,0,FALSE,1
37,3,14,-0.0285714285714286,-0.0100761408077544,0.828705387110612,20,0,FALSE,1
37,4,20,-0.02,0.0427370272812724,0.781162709154476,20,0,FALSE,1
37,5,2,0,0.288288126340133,0.962157463723823,20,0,FALSE,1
37,6,1,0.2,-1.23439120180906,0.210686651619537,20,0,FALSE,1
38,1,20,0.32,0.458412217585951,0.984101979306695,100,0,FALSE,1
38,2,14,0.114285714285714,0.0795342113647499,0.783638229795115,100,0,FALSE,1
38,3,6,0.166666666666667,0.0126154710603843,0.716421322177744,100,0,FALSE,1
39,1,20,0.32,0.216662578472954,0.835940249485887,20,0.0035,FALSE,1
39,2,15,0.0666666666666667,0.0963127680769224,0.809391470331655,20,0.0035,FALSE,1
39,3,10,0.1,0.101536464859886,0.813491811226635,20,0.0035,FALSE,1
39,4,7,-0.428571428571429,-0.448745200003711,0.588752753649517,20,0.0035,FALSE,1
39,5,3,0.666666666666667,0.212004045543692,0.825076235288258,20,0.0035,FALSE,1
40,1,20,0.32,0.327504842501647,0.889193229363832,100,0.0035,FALSE,1
40,2,11,-0.236363636363636,-0.336238660859312,0.672783465164444,100,0.0035,FALSE,1
40,3,6,-0.233333333333333,-0.62779410010121,0.449360361357576,100,0.0035,FALSE,1
40,4,6,0.266666666666667,0.126983728411047,0.76403503160978,100,0.0035,FALSE,1
40,5,3,-0.8,-0.185098696523766,0.638281392326371,100,0.0035,FALSE,1
41,1,20,0.32,0.000756411449954764,0.752816885030513,20,0,TRUE,1
41,2,12,0.0833333333333333,0.051456553876247,0.771403625770472,20,0,TRUE,1
41,3,10,0.32,0.439093394335496,0.961386916087733,20,0,TRUE,1
41,4,5,0.28,0.347156376704787,0.949243166296441,20,0,TRUE,1
41,5,1,1,-0.0607098470924168,0.64880188773521,20,0,TRUE,1
42,1,20,0.32,0.501871205135025,0.986600967880235,100,0,TRUE,1
42,2,14,-0.0714285714285714,-0.325574866561478,0.604800634158283,100,0,TRUE,1
42,3,10,-0.28,-0.423458822318335,0.579422980408553,100,0,TRUE,1
42,4,9,0.0444444444444444,0.0590051017499347,0.759740729136285,100,0,TRUE,1
42,5,8,-0.375,-0.0378715659448791,0.723853296755376,100,0,TRUE,1
42,6,2,0,0.367190521289992,0.958603295305894,100,0,TRUE,1
42,7,3,-0.6,-1.28131441447602,0.273954094053417,100,0,TRUE,1
42,8,1,-0.2,0.677800017608924,1.08046606887317,100,0,TRUE,1
43,1,20,0.32,0.405092293486402,0.947221105559171,20,0.0035,TRUE,1
43,2,22,0.318181818181818,0.312439764385418,0.894683573719756,20,0.0035,TRUE,1
43,3,19,0.410526315789474,0.457205507522178,0.961026338234338,20,0.0035,TRUE,1
43,4,12,0.3,0.291487600093436,0.87194903308387,20,0.0035,TRUE,1
43,5,9,0.422222222222222,0.384387625189034,0.928060138033955,20,0.0035,TRUE,1
43,6,13,0.153846153846154,-0.0293606279710218,0.696428038544097,20,0.0035,TRUE,1
43,7,6,-0.0333333333333333,0.722071475710244,1.10507148005057,20,0.0035,TRUE,1
